Reference	 Value	 Footprint	 Datasheet	 Characteristics	 Description	 MFN	 MFP	 Package ID	 Source	 Critical	 Subsystem	 Notes
J1	USB_TYPE_B		http://images.ihscontent.net/vipimages/VipMasterIC/IC/TYEL/TYELS17825/TYELS17825-1.pdf	"4 CONTACT(S), FEMALE, RIGHT ANGLE USB TYPE-B CONNECTOR"	USB Type-B Connector	TE Connectivity	292304-1	PTH	ANY	Y	USB_Cnxn	Must match footprint
JP2	NO_POP			FOOTPRINT ONLY	FOOTPRINT ONLY	FOOTPRINT ONLY	FOOTPRINT ONLY	PTH	FOOTPRINT ONLY	FOOTPRINT ONLY	16U2_Sub	
MF-MSMF050-2	500mA		http://www.bourns.com/data/global/pdfs/mfmsmf.pdf	"500mA EMPERATURE DEPENDENT, PTC RESETTABLE FUSE"	PTC Resettable Fuse on USBVCC	Bourns	MF-MSMF050-2	SMD	ANY	N	USB_Cnxn	
P1	Power Header		http://sullinscorp.com/catalogs/101_PAGE114-115_.100_FEMALE_HDR.pdf	"Connector Header 8 Position 0.100"" (2.54mm) Gold Surface Mount"	Shield Header 8POS - PWR	Sullins Connector	NPPC081KFXC-RC	SMD	ANY	N	Shield_Headers	
P2	Analog Header		http://sullinscorp.com/catalogs/101_PAGE114-115_.100_FEMALE_HDR.pdf	"Connector Header 6 Position 0.100"" (2.54mm) Gold Surface Mount"	Shield Header 6POS - ANLG	Sullins Connector	NPPC061KFXC-RC	SMD	ANY	N	Shield_Headers	
P3	Digital Header 02		http://sullinscorp.com/catalogs/101_PAGE114-115_.100_FEMALE_HDR.pdf	"Connector Header 10 Position 0.100"" (2.54mm) Gold Surface Mount"	Shield Header 10POS - DIG02	Sullins Connector	NPPC101KFXC-RC	SMD	ANY	N	Shield_Headers	
P4	Digital Header 01		http://sullinscorp.com/catalogs/101_PAGE114-115_.100_FEMALE_HDR.pdf	"Connector Header 8 Position 0.100"" (2.54mm) Gold Surface Mount"	Shield Header 8POS - DIG01	Sullins Connector	NPPC081KFXC-RC	SMD	ANY	N	Shield_Headers	
Q1	FDN340P		https://www.fairchildsemi.com/datasheets/FD/FDN340P.pdf	"2000 mA, 20 V, P-CHANNEL, Si, SMALL SIGNAL, MOSFET, SUPERSOT-3"	USBVCC MOSFET	Fairchild Semiconductor	FDN340P	SOT23	ANY	N	Voltage_Mgmt	
R1	510R		http://www.yageo.com/pdf/Pu-RC0805_51_PbFree_L_2.pdf	"RESISTOR, METAL GLAZE/THICK FILM, 0.125W, 1%, 100ppm, 510ohm, SURFACE MOUNT, 0805"	Power On LED Resistor	Yageo	RC0805FR-07510RL	SMD_0805	ANY	N	Voltage_Reg	
R10	510R		http://www.yageo.com/pdf/Pu-RC0805_51_PbFree_L_2.pdf	"RESISTOR, METAL GLAZE/THICK FILM, 0.125W, 1%, 100ppm, 510ohm, SURFACE MOUNT, 0805"	Serial Tx LED Resistor	Yageo	RC0805FR-07510RL	SMD_0805	ANY	N	16U2_Sub	
R11	510R		http://www.yageo.com/pdf/Pu-RC0805_51_PbFree_L_2.pdf	"RESISTOR, METAL GLAZE/THICK FILM, 0.125W, 1%, 100ppm, 510ohm, SURFACE MOUNT, 0805"	Serial Rx LED Resistor	Yageo	RC0805FR-07510RL	SMD_0805	ANY	N	16U2_Sub	
R12	1K		http://images.ihscontent.net/vipimages/VipMasterIC/IC/VISH/VISHS75859/VISHS75859-1.pdf	"METAL GLAZE/THICK FILM, 0.125W, 5%, 200ppm, 1000ohm, SURFACE MOUNT, 0805,"	ATMEGA328P DTR Pull Down Resistor	Vishay	CRCW08051K00JNEA	SMD_0805	ANY	N	328P_Sub	
R13	0R		http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ6GEY0R00V+7+WW	RES SMD 0.0 OHM JUMPER 1/8W 0805	ATMEGA328P DTR 0R Link	Panasonic	ERJ-6GEY0R00V	SMD_0805	ANY	N	328P_Sub	
R14	1K		http://images.ihscontent.net/vipimages/VipMasterIC/IC/VISH/VISHS75859/VISHS75859-1.pdf	"METAL GLAZE/THICK FILM, 0.125W, 5%, 200ppm, 1000ohm, SURFACE MOUNT, 0805,"	ATMEGA328P Serial Tx Terminator	Vishay	CRCW08051K00JNEA	SMD_0805	ANY	N	328P_Sub	
R15	1K		http://images.ihscontent.net/vipimages/VipMasterIC/IC/VISH/VISHS75859/VISHS75859-1.pdf	"METAL GLAZE/THICK FILM, 0.125W, 5%, 200ppm, 1000ohm, SURFACE MOUNT, 0805,"	ATMEGA328P Serial Rx Terminator	Vishay	CRCW08051K00JNEA	SMD_0805	ANY	N	328P_Sub	
R16	10K		http://images.ihscontent.net/vipimages/VipMasterIC/IC/VISH/VISHS75859/VISHS75859-1.pdf	"RESISTOR, METAL GLAZE/THICK FILM, 0.125W, 5%, 200ppm, 10000ohm, SURFACE MOUNT, 0805"	ATMEGA328P 10K ICSP Pull Up	Vishay	CRCW080510K0JNEA	SMD_0805	ANY	N	328P_Sub	
R17	1M		http://www.vishay.com/docs/20035/dcrcwe3.pdf	RES SMD 1M OHM 1% 1/8W 0805	ATMEGA328P Xtal 1M Feedback Resistor	Vishay	CRCW08051M00FKEA	SMD_0805	ANY	N	328P_Sub	
R2	10K		http://images.ihscontent.net/vipimages/VipMasterIC/IC/VISH/VISHS75859/VISHS75859-1.pdf	"RESISTOR, METAL GLAZE/THICK FILM, 0.125W, 5%, 200ppm, 10000ohm, SURFACE MOUNT, 0805"	10K Comparator Voltage Divider Resistor	Vishay	CRCW080510K0JNEA	SMD_0805	ANY	N	Voltage_Mgmt	
R3	10K		http://images.ihscontent.net/vipimages/VipMasterIC/IC/VISH/VISHS75859/VISHS75859-1.pdf	"RESISTOR, METAL GLAZE/THICK FILM, 0.125W, 5%, 200ppm, 10000ohm, SURFACE MOUNT, 0805"	10K Comparator Voltage Divider Resistor	Vishay	CRCW080510K0JNEA	SMD_0805	ANY	N	Voltage_Mgmt	
R4	510R		http://www.yageo.com/pdf/Pu-RC0805_51_PbFree_L_2.pdf	"RESISTOR, METAL GLAZE/THICK FILM, 0.125W, 1%, 100ppm, 510ohm, SURFACE MOUNT, 0805"	Power On LED Resistor	Yageo	RC0805FR-07510RL	SMD_0805	ANY	N	Pin13_LED	
R5	22R		http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_3.pdf	RES SMD 22 OHM 5% 1/8W 0805	22R USB Termination Resistor	Yageo	RC0805JR-0722RL	SMD_0805	ANY	Y	USB_Cnxn	Must match 5% tolerance
R6	22R		http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_3.pdf	RES SMD 22 OHM 5% 1/8W 0805	22R USB Termination Resistor	Yageo	RC0805JR-0722RL	SMD_0805	ANY	Y	USB_Cnxn	Must match 5% tolerance
R7	10K		http://images.ihscontent.net/vipimages/VipMasterIC/IC/VISH/VISHS75859/VISHS75859-1.pdf	"RESISTOR, METAL GLAZE/THICK FILM, 0.125W, 5%, 200ppm, 10000ohm, SURFACE MOUNT, 0805"	ATMEGA16U2 10K ICSP Pull Up	Vishay	CRCW080510K0JNEA	SMD_0805	ANY	N	16U2_Sub	
R8	0R		http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ6GEY0R00V+7+WW	RES SMD 0.0 OHM JUMPER 1/8W 0805	ATMEGA16U2 UGND to GND Link	Panasonic	ERJ-6GEY0R00V	SMD_0805	ANY	N	16U2_Sub	
R9	1M		http://www.vishay.com/docs/20035/dcrcwe3.pdf	RES SMD 1M OHM 1% 1/8W 0805	ATMEGA16U2 Xtal 1M Feedback Resistor	Vishay	CRCW08051M00FKEA	SMD_0805	ANY	N	16U2_Sub	
SW1	RESET_SWITCH		http://industrial.panasonic.com/www-data/pdf/ATK0000/ATK0000CE28.pdf	SWITCH TACTILE SPST-NO 0.02A 15V	Reset Pushbutton	Panasonic	EVQ-Q2U02W	SMD	ANY	N	328P_Sub	Prefer below 3mm in accuator height off PCB
U1	LD1117S50TR		http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf	"5 V FIXED POSITIVE LDO REGULATOR, 1.2 V DROPOUT, PDSO3, ROHS COMPLIANT, SOT-223, 4 PIN"	5V Fixed LDO	STMicroelectronics	LD1117S50TR	SOT-223	Any	N	Voltage_Reg	
U2	LMV358IDGKR		http://www.ti.com/lit/ds/symlink/lmv358.pdf	"DUAL OP-AMP, 7000uV OFFSET-MAX, 1MHz BAND WIDTH"	Comparator Op-amp	Texas Instruments	LMV358IDGKR	VSSOP8	ANY	N	Voltage_Mgmt	
U3	LP2985-33DBVR		http://www.ti.com/lit/ds/symlink/lp2985-33.pdf	"3.3V FIXED POSITIVE LDO REGULATOR, 0.575V DROPOUT"	3V3 Fixed LDO Regulator	Texas Instruments	LP2985-33DBVR	SOT-23 5	ANY	N	Voltage_Mgmt	
U4	ATMEGA16U2-MU		http://www.atmel.com/Images/doc7799.pdf	ATMEGA16U2 Microcontroller	ATMEGA16U2 Microcontroller	Atmel	ATMEGA16U2-MU	QFN32	ANY	Y	16U2_Sub	
U5	ATMEGA328P		http://www.atmel.com/images/Atmel-8271-8-bit-AVR-Microcontroller-ATmega48A-48PA-88A-88PA-168A-168PA-328-328P_datasheet_Complete.pdf	IC MCU 8BIT 32KB FLASH 28DIP	ATMEGA328P	Atmel	ATMEGA328P-PU	PTH	ANY	Y	328P_Sub	
VR1	CG0603MLC-05E		http://www.bourns.com/data/global/pdfs/mlc.pdf	"VOLTAGE DEPENDENT RESISTOR, 5V, SURFACE MOUNT, CHIP, 0603,"	ESD Protection Varistor	Bourns	CG0603MLC-05E	SMD_0603	ANY	N	USB_Cnxn	
VR2	CG0603MLC-05E		http://www.bourns.com/data/global/pdfs/mlc.pdf	"VOLTAGE DEPENDENT RESISTOR, 5V, SURFACE MOUNT, CHIP, 0603,"	ESD Protection Varistor	Bourns	CG0603MLC-05E	SMD_0603	ANY	N	USB_Cnxn	
X1	FOXSLF/160-20		http://www.foxonline.com/pdfs/hc49slf.pdf	16MHz PARALLEL FUNDAMENTAL 30PPM 20PF LOAD	ATMEGA16U2 16MHz Crystal Oscillator	Fox Electronics	FOXSLF/160-20	PTH	ANY	N	16U2_Sub	Must Match Tolerance in PPM and Load Cap Value
X2	CSTCE16MOV53-R0		http://www.murata.com/~/media/webrenewal/support/library/catalog/products/timingdevice/ceralock/p16e.ashx	CER RESONATOR 16.0MHZ SMD	ATMEGA328P Oscillator	Murata	CSTCE16M0V53-R0	SMD	ANY	Y	328P_Sub	
